site code,latitude,longitude,biblio code,amal per,presv,samp count,divrs,barley awn,barley lemma bases,barley rachis,culm nodes,f-t wheat rachis,gw glume bases,wheat indet rachis,cereal indet grain,barley grain,f-t wheat grain,gw grain,millet,oat grain,wheat indet gr,wild einkorn,caper,cucumber,date,fig,grape,hazelnut,olive,pear,pistachio,pomegranate,flax/linseed,sesame,bitter vetch,celtic bean,chickpea,common pea,grass pea,lentil,coriander,cumin,wild/weed
sott,36.2,41.1,"Lisicyna, 1983",Neolithic,cpr,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
taya,36.11,42.43,"Waines, 1973",E Dynastic,cpr,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
taya,36.11,42.43,"Waines, 1973",Akkadian,cpr,9,11,0,0,0,0,0,0,0,1,5,6,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,3,2,0,0,0
taya,36.11,42.43,"Waines, 1973",Kassite,cpr,1,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
daba,35.29,42.47,"Helbaek, 1972 tra",Neolithic,cpr,3,5,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
daba,35.29,42.47,"Helbaek, 1972 tra",Neolithic,imp,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wark,31.18,45.4,"Jacobsen, 1982",Ubaid,imp,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wark,31.18,45.4,"Jacobsen, 1982",Uruk,imp,3,2,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wark,31.18,45.4,"Jacobsen, 1982",Neo Assyrian,cpr,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
yar1,36.42,42.25,"Bakhteyev, 1980",Neolithic,cpr,5,4,0,0,0,0,0,0,0,1,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yar2,36.42,42.25,"Bakhteyev, 1980",Ubaid,cpr,7,3,0,0,0,0,0,0,0,0,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yelk,34.2,45,"Costantini, 1985",Akkadian,cpr,30,7,0,0,0,0,0,0,0,0,29,15,15,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,17
